metode,fails1,fails2,lidzibas_procents,konceptu_lidziba,frazu_lidziba,klasifikacija,n_vertiba,loga_izmers,stopvardu_skaits,konceptu_svars,frazu_svars
Heša metode,L_nenoteikta_1,L17,0.6875,0.3750,1.0000,1,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L6,0.4250,0.7500,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L5,L17,0.1789,0.1579,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,L5,L9,0.1787,0.0847,0.2727,0,1,2,0,0.5000,0.5000
Heša metode,L2,L4,0.1757,0.1591,0.1923,0,1,2,0,0.5000,0.5000
Heša metode,L18,L22,0.1720,0.2075,0.1364,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L5,0.1593,0.1186,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,L3,L20,0.1550,0.0492,0.2609,0,1,2,0,0.5000,0.5000
Heša metode,L3,L5,0.1528,0.1270,0.1786,0,1,2,0,0.5000,0.5000
Heša metode,L3,L14,0.1499,0.1212,0.1786,0,1,2,0,0.5000,0.5000
Heša metode,L6,L9,0.1463,0.0294,0.2632,0,1,2,0,0.5000,0.5000
Heša metode,L5,L6,0.1448,0.1077,0.1818,0,1,2,0,0.5000,0.5000
Heša metode,L2,L22,0.1366,0.1250,0.1481,0,1,2,0,0.5000,0.5000
Heša metode,L9,L16,0.1359,0.0635,0.2083,0,1,2,0,0.5000,0.5000
Heša metode,L9,L13,0.1345,0.0690,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,L2,L5,0.1326,0.0800,0.1852,0,1,2,0,0.5000,0.5000
Heša metode,L2,L17,0.1326,0.0800,0.1852,0,1,2,0,0.5000,0.5000
Heša metode,L2,L3,0.1318,0.1346,0.1290,0,1,2,0,0.5000,0.5000
Heša metode,L5,L14,0.1306,0.1500,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L5,L12,0.1306,0.1321,0.1290,0,1,2,0,0.5000,0.5000
Heša metode,L6,L20,0.1298,0.1017,0.1579,0,1,2,0,0.5000,0.5000
Heša metode,L4,L21,0.1236,0.0893,0.1579,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L2,0.1220,0.0588,0.1852,0,1,2,0,0.5000,0.5000
Heša metode,L6,L12,0.1200,0.0476,0.1923,0,1,2,0,0.5000,0.5000
Heša metode,L3,L4,0.1198,0.0968,0.1429,0,1,2,0,0.5000,0.5000
Heša metode,L5,L16,0.1189,0.0455,0.1923,0,1,2,0,0.5000,0.5000
Heša metode,L17,L23,0.1177,0.1354,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L2,L20,0.1174,0.0682,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L4,L8,0.1167,0.0429,0.1905,0,1,2,0,0.5000,0.5000
Heša metode,L9,L12,0.1166,0.0545,0.1786,0,1,2,0,0.5000,0.5000
Heša metode,L5,L7,0.1159,0.0522,0.1795,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L18,0.1156,0.1311,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L6,L16,0.1151,0.0563,0.1739,0,1,2,0,0.5000,0.5000
Heša metode,L5,L23,0.1146,0.1010,0.1282,0,1,2,0,0.5000,0.5000
Heša metode,L1,L19,0.1146,0.0625,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L2,L7,0.1141,0.0574,0.1707,0,1,2,0,0.5000,0.5000
Heša metode,L14,L15,0.1131,0.0874,0.1389,0,1,2,0,0.5000,0.5000
Heša metode,L18,L19,0.1121,0.0909,0.1333,0,1,2,0,0.5000,0.5000
Heša metode,L20,L21,0.1119,0.0364,0.1875,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L23,0.1119,0.1237,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L1,L18,0.1115,0.1053,0.1176,0,1,2,0,0.5000,0.5000
Heša metode,L3,L9,0.1100,0.1129,0.1071,0,1,2,0,0.5000,0.5000
Heša metode,L2,L14,0.1092,0.0755,0.1429,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L22,0.1089,0.1270,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L11,L20,0.1086,0.0172,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,L5,L20,0.1085,0.0351,0.1818,0,1,2,0,0.5000,0.5000
Heša metode,L5,L22,0.1077,0.1000,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L1,L2,0.1073,0.1277,0.0870,0,1,2,0,0.5000,0.5000
Heša metode,L4,L6,0.1072,0.0781,0.1364,0,1,2,0,0.5000,0.5000
Heša metode,L12,L17,0.1072,0.1538,0.0606,0,1,2,0,0.5000,0.5000
Heša metode,L7,L24,0.1071,0.0604,0.1538,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L5,0.1068,0.0923,0.1212,0,1,2,0,0.5000,0.5000
Heša metode,L6,L13,0.1057,0.0448,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L12,L16,0.1056,0.0500,0.1613,0,1,2,0,0.5000,0.5000
Heša metode,L6,L18,0.1056,0.1111,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L2,L6,0.1055,0.0909,0.1200,0,1,2,0,0.5000,0.5000
Heša metode,L2,L18,0.1037,0.1304,0.0769,0,1,2,0,0.5000,0.5000
Heša metode,L3,L24,0.1035,0.1139,0.0930,0,1,2,0,0.5000,0.5000
Heša metode,L20,L23,0.1034,0.0303,0.1765,0,1,2,0,0.5000,0.5000
Heša metode,L19,L21,0.1019,0.0370,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L21,L22,0.1017,0.1034,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L4,L5,0.1008,0.0862,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L4,L16,0.1007,0.0476,0.1538,0,1,2,0,0.5000,0.5000
Heša metode,L13,L16,0.1007,0.0635,0.1379,0,1,2,0,0.5000,0.5000
Heša metode,L12,L23,0.1007,0.0619,0.1395,0,1,2,0,0.5000,0.5000
Heša metode,L16,L23,0.1003,0.0467,0.1538,0,1,2,0,0.5000,0.5000
Heša metode,L4,L13,0.0999,0.0517,0.1481,0,1,2,0,0.5000,0.5000
Heša metode,L11,L21,0.0995,0.0323,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L9,L18,0.0990,0.1071,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L2,L24,0.0989,0.0758,0.1220,0,1,2,0,0.5000,0.5000
Heša metode,L16,L18,0.0983,0.1167,0.0800,0,1,2,0,0.5000,0.5000
Heša metode,L22,L24,0.0978,0.0641,0.1316,0,1,2,0,0.5000,0.5000
Heša metode,L7,L23,0.0978,0.0636,0.1321,0,1,2,0,0.5000,0.5000
Heša metode,L9,L23,0.0973,0.0594,0.1351,0,1,2,0,0.5000,0.5000
Heša metode,L3,L23,0.0973,0.0755,0.1190,0,1,2,0,0.5000,0.5000
Heša metode,L8,L13,0.0972,0.0278,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L2,L16,0.0967,0.0556,0.1379,0,1,2,0,0.5000,0.5000
Heša metode,L1,L6,0.0967,0.0758,0.1176,0,1,2,0,0.5000,0.5000
Heša metode,L17,L22,0.0964,0.1186,0.0741,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L13,0.0963,0.0455,0.1471,0,1,2,0,0.5000,0.5000
Heša metode,L2,L11,0.0956,0.0800,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L13,L15,0.0955,0.0288,0.1622,0,1,2,0,0.5000,0.5000
Heša metode,L20,L22,0.0950,0.0536,0.1364,0,1,2,0,0.5000,0.5000
Heša metode,L7,L16,0.0949,0.0435,0.1463,0,1,2,0,0.5000,0.5000
Heša metode,L6,L23,0.0942,0.0455,0.1429,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L1,0.0940,0.0769,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L14,L23,0.0937,0.0874,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L13,L21,0.0936,0.0508,0.1364,0,1,2,0,0.5000,0.5000
Heša metode,L9,L20,0.0935,0.0962,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L6,L14,0.0931,0.1029,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L3,L6,0.0924,0.0694,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L4,L23,0.0921,0.0816,0.1026,0,1,2,0,0.5000,0.5000
Heša metode,L8,L11,0.0920,0.0411,0.1429,0,1,2,0,0.5000,0.5000
Heša metode,L7,L8,0.0919,0.0486,0.1351,0,1,2,0,0.5000,0.5000
Heša metode,L4,L7,0.0918,0.0299,0.1538,0,1,2,0,0.5000,0.5000
Heša metode,L1,L22,0.0917,0.0833,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L3,L7,0.0912,0.0429,0.1395,0,1,2,0,0.5000,0.5000
Heša metode,L4,L22,0.0911,0.1053,0.0769,0,1,2,0,0.5000,0.5000
Heša metode,L7,L12,0.0909,0.0227,0.1591,0,1,2,0,0.5000,0.5000
Heša metode,L14,L20,0.0909,0.0000,0.1818,0,1,2,0,0.5000,0.5000
Heša metode,L4,L14,0.0900,0.0645,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L5,L24,0.0899,0.1067,0.0732,0,1,2,0,0.5000,0.5000
Heša metode,L4,L17,0.0897,0.1053,0.0741,0,1,2,0,0.5000,0.5000
Heša metode,L15,L24,0.0893,0.0328,0.1458,0,1,2,0,0.5000,0.5000
Heša metode,L7,L14,0.0893,0.0286,0.1500,0,1,2,0,0.5000,0.5000
Heša metode,L4,L9,0.0884,0.0517,0.1250,0,1,2,0,0.5000,0.5000
Heša metode,L16,L20,0.0879,0.0508,0.1250,0,1,2,0,0.5000,0.5000
Heša metode,L12,L13,0.0879,0.0545,0.1212,0,1,2,0,0.5000,0.5000
Heša metode,L18,L20,0.0877,0.0755,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L13,L24,0.0877,0.0253,0.1500,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L9,0.0872,0.0455,0.1290,0,1,2,0,0.5000,0.5000
Heša metode,L13,L19,0.0872,0.0244,0.1500,0,1,2,0,0.5000,0.5000
Heša metode,L6,L17,0.0871,0.0909,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L9,L21,0.0871,0.0690,0.1053,0,1,2,0,0.5000,0.5000
Heša metode,L7,L9,0.0867,0.0451,0.1282,0,1,2,0,0.5000,0.5000
Heša metode,L19,L22,0.0864,0.0617,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L11,L22,0.0863,0.0476,0.1250,0,1,2,0,0.5000,0.5000
Heša metode,L2,L9,0.0862,0.0612,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L4,L12,0.0861,0.0755,0.0968,0,1,2,0,0.5000,0.5000
Heša metode,L2,L21,0.0851,0.0833,0.0870,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L4,0.0851,0.0794,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L11,L24,0.0847,0.0641,0.1053,0,1,2,0,0.5000,0.5000
Heša metode,L3,L18,0.0847,0.0952,0.0741,0,1,2,0,0.5000,0.5000
Heša metode,L5,L18,0.0840,0.0847,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L2,0.0836,0.1132,0.0541,0,1,2,0,0.5000,0.5000
Heša metode,L6,L19,0.0835,0.0337,0.1333,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L12,0.0834,0.0317,0.1351,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L14,0.0833,0.0952,0.0714,0,1,2,0,0.5000,0.5000
Heša metode,L14,L17,0.0833,0.0952,0.0714,0,1,2,0,0.5000,0.5000
Heša metode,L16,L22,0.0833,0.0952,0.0714,0,1,2,0,0.5000,0.5000
Heša metode,L7,L20,0.0830,0.0308,0.1351,0,1,2,0,0.5000,0.5000
Heša metode,L23,L24,0.0827,0.0500,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L22,L23,0.0825,0.0900,0.0750,0,1,2,0,0.5000,0.5000
Heša metode,L8,L20,0.0808,0.0615,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L16,L24,0.0806,0.0361,0.1250,0,1,2,0,0.5000,0.5000
Heša metode,L1,L5,0.0804,0.0656,0.0952,0,1,2,0,0.5000,0.5000
Heša metode,L1,L17,0.0804,0.0656,0.0952,0,1,2,0,0.5000,0.5000
Heša metode,L21,L24,0.0798,0.0385,0.1212,0,1,2,0,0.5000,0.5000
Heša metode,L3,L22,0.0796,0.1270,0.0323,0,1,2,0,0.5000,0.5000
Heša metode,L10,L14,0.0791,0.0938,0.0645,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L6,0.0790,0.0746,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L4,L11,0.0789,0.0328,0.1250,0,1,2,0,0.5000,0.5000
Heša metode,L9,L24,0.0786,0.0519,0.1053,0,1,2,0,0.5000,0.5000
Heša metode,L13,L22,0.0782,0.0492,0.1071,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L22,0.0780,0.0820,0.0741,0,1,2,0,0.5000,0.5000
Heša metode,L8,L10,0.0780,0.0405,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L1,L9,0.0776,0.0500,0.1053,0,1,2,0,0.5000,0.5000
Heša metode,L2,L12,0.0775,0.0667,0.0882,0,1,2,0,0.5000,0.5000
Heša metode,L9,L19,0.0773,0.0370,0.1176,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L20,0.0770,0.1228,0.0312,0,1,2,0,0.5000,0.5000
Heša metode,L5,L8,0.0769,0.0704,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L1,L16,0.0767,0.0625,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L5,L13,0.0763,0.0492,0.1034,0,1,2,0,0.5000,0.5000
Heša metode,L2,L8,0.0761,0.0323,0.1200,0,1,2,0,0.5000,0.5000
Heša metode,L20,L24,0.0761,0.0411,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L12,0.0758,0.0909,0.0606,0,1,2,0,0.5000,0.5000
Heša metode,L2,L10,0.0757,0.0577,0.0938,0,1,2,0,0.5000,0.5000
Heša metode,L5,L11,0.0756,0.0312,0.1200,0,1,2,0,0.5000,0.5000
Heša metode,L8,L14,0.0755,0.0676,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L1,L4,0.0754,0.0508,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L9,L11,0.0750,0.0667,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L3,L10,0.0749,0.0909,0.0588,0,1,2,0,0.5000,0.5000
Heša metode,L15,L22,0.0749,0.0686,0.0811,0,1,2,0,0.5000,0.5000
Heša metode,L2,L23,0.0748,0.0543,0.0952,0,1,2,0,0.5000,0.5000
Heša metode,L6,L22,0.0747,0.1077,0.0417,0,1,2,0,0.5000,0.5000
Heša metode,L10,L22,0.0737,0.0806,0.0667,0,1,2,0,0.5000,0.5000
Heša metode,L6,L21,0.0735,0.0294,0.1176,0,1,2,0,0.5000,0.5000
Heša metode,L14,L18,0.0734,0.0635,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L12,L15,0.0731,0.0510,0.0952,0,1,2,0,0.5000,0.5000
Heša metode,L7,L18,0.0731,0.0692,0.0769,0,1,2,0,0.5000,0.5000
Heša metode,L12,L14,0.0719,0.0500,0.0938,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L1,0.0718,0.0484,0.0952,0,1,2,0,0.5000,0.5000
Heša metode,L17,L18,0.0717,0.1034,0.0400,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L16,0.0714,0.0571,0.0857,0,1,2,0,0.5000,0.5000
Heša metode,L9,L15,0.0714,0.0594,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L14,L21,0.0711,0.0469,0.0952,0,1,2,0,0.5000,0.5000
Heša metode,L7,L22,0.0710,0.0444,0.0976,0,1,2,0,0.5000,0.5000
Heša metode,L4,L24,0.0708,0.0390,0.1026,0,1,2,0,0.5000,0.5000
Heša metode,L6,L24,0.0703,0.0595,0.0811,0,1,2,0,0.5000,0.5000
Heša metode,L18,L23,0.0702,0.0594,0.0811,0,1,2,0,0.5000,0.5000
Heša metode,L6,L7,0.0702,0.0352,0.1053,0,1,2,0,0.5000,0.5000
Heša metode,L12,L24,0.0702,0.0267,0.1136,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L3,0.0692,0.0857,0.0526,0,1,2,0,0.5000,0.5000
Heša metode,L6,L8,0.0690,0.0380,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L8,L16,0.0689,0.0128,0.1250,0,1,2,0,0.5000,0.5000
Heša metode,L16,L21,0.0689,0.0469,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L15,0.0684,0.0459,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L7,L11,0.0684,0.0368,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L14,L24,0.0681,0.0361,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L4,L19,0.0679,0.0247,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L14,L22,0.0678,0.0615,0.0741,0,1,2,0,0.5000,0.5000
Heša metode,L15,L21,0.0678,0.0388,0.0968,0,1,2,0,0.5000,0.5000
Heša metode,L9,L10,0.0673,0.0656,0.0690,0,1,2,0,0.5000,0.5000
Heša metode,L11,L12,0.0672,0.0345,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L1,L21,0.0672,0.0678,0.0667,0,1,2,0,0.5000,0.5000
Heša metode,L6,L11,0.0672,0.0435,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L3,L12,0.0671,0.0484,0.0857,0,1,2,0,0.5000,0.5000
Heša metode,L12,L22,0.0670,0.0714,0.0625,0,1,2,0,0.5000,0.5000
Heša metode,L4,L10,0.0667,0.0667,0.0667,0,1,2,0,0.5000,0.5000
Heša metode,L8,L9,0.0666,0.0423,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L17,0.0665,0.0758,0.0571,0,1,2,0,0.5000,0.5000
Heša metode,L18,L24,0.0663,0.0800,0.0526,0,1,2,0,0.5000,0.5000
Heša metode,L6,L15,0.0660,0.0748,0.0571,0,1,2,0,0.5000,0.5000
Heša metode,L10,L24,0.0657,0.0633,0.0682,0,1,2,0,0.5000,0.5000
Heša metode,L8,L21,0.0657,0.0137,0.1176,0,1,2,0,0.5000,0.5000
Heša metode,L4,L18,0.0655,0.0893,0.0417,0,1,2,0,0.5000,0.5000
Heša metode,L7,L13,0.0654,0.0146,0.1163,0,1,2,0,0.5000,0.5000
Heša metode,L1,L12,0.0652,0.0536,0.0769,0,1,2,0,0.5000,0.5000
Heša metode,L11,L16,0.0650,0.0147,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L7,L17,0.0650,0.0602,0.0698,0,1,2,0,0.5000,0.5000
Heša metode,L1,L20,0.0648,0.0741,0.0556,0,1,2,0,0.5000,0.5000
Heša metode,L10,L17,0.0648,0.0984,0.0312,0,1,2,0,0.5000,0.5000
Heša metode,L3,L11,0.0643,0.0597,0.0690,0,1,2,0,0.5000,0.5000
Heša metode,L11,L18,0.0641,0.0847,0.0435,0,1,2,0,0.5000,0.5000
Heša metode,L8,L22,0.0640,0.0411,0.0870,0,1,2,0,0.5000,0.5000
Heša metode,L21,L23,0.0635,0.0388,0.0882,0,1,2,0,0.5000,0.5000
Heša metode,L11,L13,0.0635,0.0159,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L12,L20,0.0632,0.0192,0.1071,0,1,2,0,0.5000,0.5000
Heša metode,L9,L17,0.0631,0.0492,0.0769,0,1,2,0,0.5000,0.5000
Heša metode,L3,L8,0.0630,0.0519,0.0741,0,1,2,0,0.5000,0.5000
Heša metode,L8,L17,0.0629,0.0857,0.0400,0,1,2,0,0.5000,0.5000
Heša metode,L18,L21,0.0623,0.0690,0.0556,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L7,0.0622,0.0429,0.0816,0,1,2,0,0.5000,0.5000
Heša metode,L13,L23,0.0620,0.0288,0.0952,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L4,0.0620,0.0500,0.0741,0,1,2,0,0.5000,0.5000
Heša metode,L4,L20,0.0620,0.0370,0.0870,0,1,2,0,0.5000,0.5000
Heša metode,L11,L23,0.0620,0.0187,0.1053,0,1,2,0,0.5000,0.5000
Heša metode,L9,L14,0.0619,0.0469,0.0769,0,1,2,0,0.5000,0.5000
Heša metode,L4,L15,0.0617,0.0707,0.0526,0,1,2,0,0.5000,0.5000
Heša metode,L9,L22,0.0616,0.0847,0.0385,0,1,2,0,0.5000,0.5000
Heša metode,L3,L15,0.0615,0.0755,0.0476,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L19,0.0615,0.0460,0.0769,0,1,2,0,0.5000,0.5000
Heša metode,L10,L23,0.0614,0.0784,0.0444,0,1,2,0,0.5000,0.5000
Heša metode,L1,L7,0.0614,0.0687,0.0541,0,1,2,0,0.5000,0.5000
Heša metode,L3,L13,0.0611,0.0615,0.0606,0,1,2,0,0.5000,0.5000
Heša metode,L14,L16,0.0606,0.0141,0.1071,0,1,2,0,0.5000,0.5000
Heša metode,L15,L23,0.0603,0.0629,0.0577,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L11,0.0602,0.0597,0.0606,0,1,2,0,0.5000,0.5000
Heša metode,L8,L18,0.0600,0.0725,0.0476,0,1,2,0,0.5000,0.5000
Heša metode,L1,L13,0.0599,0.0328,0.0870,0,1,2,0,0.5000,0.5000
Heša metode,L15,L19,0.0596,0.0157,0.1034,0,1,2,0,0.5000,0.5000
Heša metode,L15,L20,0.0593,0.0303,0.0882,0,1,2,0,0.5000,0.5000
Heša metode,L3,L21,0.0591,0.0781,0.0400,0,1,2,0,0.5000,0.5000
